id,type,address,number,postal_code,municipality,province,location,public,available,hours,Latitude,Longitude
9510.0,,Begijenstraat,42.0,2000.0,Antwerpen,Antwerpen,,,,,51.2130611,4.4011684
9511.0,,Zwarte _Brugstraat,4.0,3500.0,Hasselt,Limburg,,,,,50.9449742,5.327105299999999
9512.0,,Nieuwewandeling,89.0,9000.0,Gent,Oost-Vlaanderen,,,,,51.054061,3.703916
9513.0,,Iepersestraat ,245.0,8800.0,Beveren,West-Vlaanderen,,,,,50.9384509,3.1127162
9514.0,,Weverslaan,15.0,9160.0,Lokeren,Oost-Vlaanderen,,,,,51.1095426,4.0166018
9515.0,,Lodewijk Dosfelstraat ,26.0,9200.0,Dendermonde,Oost-Vlaanderen,,,,,51.0330735,4.0930917
9516.0,,Mercatorstraat,75.0,9100.0,Sint-Niklaas,Oost-Vlaanderen,,,,,51.1691758,4.1470264
9519.0,,prof rubbrechtstraat ,58.0,8972.0,Roesbrugge-Haringe,West-Vlaanderen,,,,,50.9177459,2.6263565
9520.0,,Staatsbaan,4.0,3210.0,Lubbeek,Vlaams-Brabant,,,,,50.8921012,4.795447999999999
9521.0,,Rue du cerf,200.0,1332.0,Genval,Brabant Wallon,,Y,,,50.7318949,4.4994023
9522.0,,Rameistraat ,123.0,3090.0,Overijse,Vlaams-Brabant,,Y,,,50.750768,4.5362284
9523.0,,Bogaardestraat ,228.0,9990.0,Maldegem,Oost-Vlaanderen,,,,,51.1990989,3.4316565
9524.0,,Rijkhofstraat ,40.0,9420.0,Aaigem,Oost-Vlaanderen,,,,,50.9354618,3.947523599999999
9525.0,,Nieuwstraat,13.0,9420.0,Mere,Oost-Vlaanderen,,,,,50.9220498,3.9692523
9526.0,,Kerkstraat ,38.0,9060.0,Zelzate,Oost-Vlaanderen,,,,,51.2009233,3.8127392
9527.0,,Eikelenbergstraat ,20.0,1700.0,Dilbeek,Vlaams-Brabant,,,,,50.8523009,4.2767601
9528.0,,Ratmolenstraat,13.0,9420.0,Aaigem,Oost-Vlaanderen,,,,,50.8880118,3.9362316
9529.0,,Dorpstraat ,146.0,9420.0,Erpe,Oost-Vlaanderen,,,,,50.9360827,3.981159
9530.0,,Place de la Cherte ,3.0,7390.0,Quaregnon,Hainaut,,,,,50.4432066,3.866230499999999
9531.0,,Guldendallan ,90.0,1150.0,Brussel,Bruxelles-Brussel,,,,,50.8476424,4.3571696
9532.0,,Rue Jean de Selys longechamp,27.0,4460.0,Grâce-Hollogne,Liège,,,,,50.647734,5.4943585
9533.0,,Franchommelaan,86.0,8370.0,Blankenberge,West-Vlaanderen,,,,,51.31362499999999,3.1192313
9534.0,,Gemeentepark,16.0,2930.0,Brasschaat,Antwerpen,,,,,51.28657949999999,4.4898074
9535.0,,Geldenaaksebaan,227.0,3001.0,Heverlee,Vlaams-Brabant,,,,,50.8617055,4.712295
9537.0,,Brugstraat,76.0,3960.0,Bree,Limburg,,,,,51.1422302,5.618703099999999
9538.0,,Burgemeester Lionel pusemierstraat,120.0,9900.0,Eeklo,Oost-Vlaanderen,,,,,51.1854466,3.5765894
9539.0,,Gyselstraat,35.0,9100.0,Sint-Niklaas,Oost-Vlaanderen,,,,,51.1960546,4.1769794
9540.0,,Rue de l Hocaille,1.0,1348.0,Louvain-la-Neuve,Brabant Wallon,,,,,50.6693491,4.6106086
9541.0,,Rue de l Hocaille,1.0,1348.0,Louvain-la-Neuve,Brabant Wallon,,,,,50.6693491,4.6106086
9542.0,,Rue Dewez,14.0,5000.0,Namur,Namur,,,,,50.4677101,4.8711079
9543.0,,Avenue Galilee,4.0,1300.0,Wavre,Brabant Wallon,,,,,50.7364703,4.5824034
9544.0,,Place du vieux marché ,56.0,7850.0,Enghien,Hainaut,,,,,50.6950794,4.0456132
9545.0,,Rue du Temple,2.0,7011.0,Ghlin,Hainaut,,,,,50.4727629,3.911745
9546.0,,Rue Simenon ,,4020.0,Liège,Liège,,,,,50.6418964,5.5859472
9547.0,,Place du Château ,3.0,6840.0,Neufchâteau,Luxembourg,,,,,49.8384874,5.434294
9548.0,,Chemin du Hays,,6840.0,Neufchâteau,Luxembourg,,,,,49.8385615,5.4355756
9549.0,,Avenue Einstein,8.0,1300.0,Wavre,Brabant Wallon,,,,,50.7306438,4.5879031
9550.0,,Avenue Einstein,8.0,1300.0,Wavre,Brabant Wallon,,,,,50.7306438,4.5879031
